Id,comment,Focal_Obj,Focal_Obj_Attribute
163255,[RQ-25] on page 6 should be [RQ-26],Document_Text_Seg,Incorrect
91061,] weghalen in sub titel,Unknown,Unknown
57820,"â€œCheck the RSC Used in productionâ€ not ""Check the bottle...""

also recommend adding that 60000804 is a run out",Document_Text_Seg,Incorrect
114841,â€œSample method I resultsâ€ at the bottom of page 4 should be on page 5,Document_Formatting,Incorrect
189813,number of colours = 4,Document_Info,Incorrect
58662,+/- should be replaced with a weight ranges and weigh X g of powder is ambiguous for reagent preparations,Document_Info,Incorrect
82379,+/- tolerance should be 0.001159,Document_Info,Incorrect
4055,<2000> should be >2000,Document_Text_Seg,Incorrect
60095,<study name> in design doc,Unknown,Unknown
60094,"<Study Name> needs filling out
Remove <list out command sets â€“ NA if none>",Multi_Obj,Multi_Attribs
60094-a ,<Study Name> needs filling out,Document_Info,Incomplete
60094-b,Remove <list out command sets â€“ NA if none>,Document_Text_Seg,Unnecessary
40582,Â© 2021 ABC Technology - please correct,Document_Text_Seg,Incorrect
173077-a,"  Section 7.3 - Change ""EQ079"" to ""SOP-FAC-0005""
",Document_Text_Seg,Incorrect
173077-b,"  Section 8.4 - Change ""QCG032"" to ""SOP-LAB-0099""
",Document_Text_Seg,Incorrect
173077-c,"  Section 8.5 - Change ""EQ079"" to ""SOP-FAC-0005""",Document_Text_Seg,Incorrect
113128,â€¢ Add effective date to revision F for revision history.,Date,Missing
181389,"â€¢ Use >600 EU/mL as acceptance criteria then put â‘  next to it
â€¢ Comment on the comment section",Multi_Obj,Multi_Attribs
181389-a," Use >600 EU/mL as acceptance criteria then put â‘  next to it
",Document_Info,Incorrect
181389-b, Comment on the comment section,Out_of_Doc_Comment,Unknown
116789,"â€¢	â€œReview ofâ€ states â€œThermo Electron -80Â°C freezerâ€ but doesnâ€™t refer to FR-016 (as the others typically do)
â€¢	Logbooks â€“ states â€œissued:â€ but has no date.  ",Multi_Obj,Multi_Attribs
116789-a,"	â€œReview ofâ€ states â€œThermo Electron -80Â°C freezerâ€ but doesnâ€™t refer to FR-016 (as the others typically do)
",Reference,Missing
116789-b,"	Logbooks â€“ states â€œissued:â€ but has no date.  ",Date,Missing
45047,"â€¢	AB14156-01000 is a CLIA Grade item. Change label part number
â€¢	CU01760-04000 needs exp date of 5 years (60months) â€“ see original label",Multi_Obj,Multi_Attribs
45047-a,"	AB14156-01000 is a CLIA Grade item. Change label part number
",Document_Info,Incorrect
45047-b,"	CU01760-04000 needs exp date of 5 years (60months) â€“ see original label",Date,Incorrect
136609,"â€¢	CC-20-0031 is closed/completed so not a valid reference. 
â€¢	No CC reference in Rev History.
â€¢	Weak response to address the problem.  Can we at least make this a separate step",Multi_Obj,Multi_Attribs
136609-a,"	CC-20-0031 is closed/completed so not a valid reference. 
",Reference,Obsolete
136609-b,"	No CC reference in Rev History.
",Reference,Missing
136609-c,"	Weak response to address the problem.  Can we at least make this a separate step",Document_Info,Incorrect
86236,"â€¢	correct typo section 5.4.1: change ""sights"" to sites 
â€¢	section 5.5.3: recommend changing to ""Training Videos are posted by the administrator on Gaga Connect""",Multi_Obj,Multi_Attribs
86236-a,"	correct typo section 5.4.1: change ""sights"" to sites 
",Document_Text_Seg,Incorrect
86236-b,"	section 5.5.3: recommend changing to ""Training Videos are posted by the administrator on Gaga Connect""",Document_Text_Seg,Incorrect
31105,"â€¢	Dante and Pere loading patterns are switched
â€¢	Include slot designations for each shelf on all loading configurations (currently only on one of the three cycles added)",Multi_Obj,Multi_Attribs
31105-a,"	Dante and Peren loading patterns are switched
",Document_Info,Incorrect
31105-b,"	Include slot designations for each shelf on all loading configurations (currently only on one of the three cycles added)",Document_Info,Missing
184076,"â€¢	If no training is required for the plan, change workflow to No Trn
â€¢	Fill out Custom Fields. 
â€¢	In Regulatory Assessment, does this impact a productâ€™s registration?",Multi_Obj,Multi_Attribs
184076-a,"	If no training is required for the plan, change workflow to No Trn
",Document_Info,Incorrect
184076-b,"	Fill out Custom Fields. 
",Document_Info,Incomplete
184076-c,"	In Regulatory Assessment, does this impact a productâ€™s registration?",Unknown,Unknown
31109,"â€¢	Missing table header for Grade A NVP
â€¢	On aseptic connections plates line, black out boxes for body plates",Multi_Obj,Multi_Attribs
31109-a,"	Missing table header for Grade A NVP
",Document_Formatting,Missing
31109-b,"	On aseptic connections plates line, black out boxes for body plates",Document_Formatting,Incorrect
40621,"â€¢	MKT-0005604 Rev A Deck, Lunch & Learn TM Guide, ES.pptx rejected to apply changes on: update number of smile (9) and apply on slide 9 ""fiables"" instead of ""confiables""",Multi_Obj,Multi_Attribs
136505,"â€¢	No headers on pages 2-9
â€¢	Footers are not correct for page numbering
â€¢	Table of contents is in blue text
â€¢	Title Page is for ADM Facility (need to add â€œExpansionâ€ before facility
â€¢	Multiple fonts/sizes are used.
",Multi_Obj,Multi_Attribs
136505-a,"	No headers on pages 2-9
",Document_Formatting,Missing
136505-b,"	Footers are not correct for page numbering
",Document_Formatting,Incorrect
136505-c,"	Table of contents is in blue text
",Document_Formatting,Incorrect
136505-d,"	Title Page is for ADM Facility (need to add â€œExpansionâ€ before facility
",Document_Text_Seg,Incomplete
136505-e,"	Multiple fonts/sizes are used.
",Document_Formatting,Incorrect
31114,"â€¢	Please accept all/ turn off track changes
â€¢	Add justification for the increase in rinse volume",Multi_Obj,Multi_Attribs
31114-a,"	Please accept all/ turn off track changes
",Document_Formatting,Incorrect
31114-b,"	Add justification for the increase in rinse volume",Document_Info,Missing
31118,"â€¢	Please attach example CofC, Certificate of Irradiation, BSE/TSE statement
â€¢	Section II.C: should also include certificate of irradiation as enclosed documentation
â€¢	Embed engineering drawing as an exhibit",Multi_Obj,Multi_Attribs
31118-a,"	Please attach example CofC, Certificate of Irradiation, BSE/TSE statement
",Attachment,Missing
31118-b,"	Section II.C: should also include certificate of irradiation as enclosed documentation
",Attachment,Missing
31118-c,"	Embed engineering drawing as an exhibit",Document_Formatting,Incorrect
58231,"â€¢	Section 4 needs a line between VAL-0005 and POL References
â€¢	Steps 119 and 120 need an â€œeâ€ before â€œ-signatureâ€",Multi_Obj,Multi_Attribs
58231-a,"	Section 4 needs a line between VAL-0005 and POL References
",Document_Formatting,Missing
58231-b,"	Steps 119 and 120 need an â€œeâ€ before â€œ-signatureâ€",Document_Formatting,Incorrect
31130,"â€¢	The product code in the specification (6340-08) does not match the attached certificate (1S22-CX)
â€¢	Section I.A. typo of product description (Sy vs. Sylvyde)
â€¢	Specification missing expiry info (provided by manufacturer)",Multi_Obj,Multi_Attribs
31130-a,"	The product code in the specification (6340-08) does not match the attached certificate (1S22-CX)
",Document_Info,Incorrect
31130-b,"	Section I.A. typo of product description (Sy vs. Sylvyde)
",Document_Text_Seg,Incorrect
31130-c,"	Specification missing expiry info (provided by manufacturer)",Document_Info,Missing
123404,"â€¢	WI-0365: The Revision History reads that document references were updated to new infocard numbers in section 3.1 only. Change this so it reads that this change was made to all sections.",Document_Info,Incorrect
33578,0 defects out of 332 units in attachment IV.,Attachment,Incorrect
133832,"0 for Retraining days, needs to be blank or a number",Document_Info,Incorrect
104019,"0.0363"" should not be the permanent change.",Document_Info,Incorrect
41622,0.5X TAE Buffer incorrect expiration date,Date,Incorrect
100927,00 revision collab aborted but not deleted. InfoCard will be deleted and document resubmitted with a new MP.,Document_Info,Incorrect
69313,"00 zeros needed on page 3, 4",Document_Info,Incorrect
31166,"0018 - pDF version, step 7.5 carries over to page 12. Please fix to where it is only on Page 11.",Document_Formatting,Incorrect
173128,0018 infocard number is incorrect. Missing a zero.,InfoCard,Incorrect
41052,0019 spreadsheet needs to be converted from lb to kg.,Document_Info,Incorrect
66987,"00207: not in minutes
00308: 2.10 should be CTQ.  Ral's opinion that diameter symbol should be duplicated in dual dimensions",Multi_Obj,Multi_Attribs
66987-a,"00207: not in minutes",Document_Info,Incorrect
66987-b,00308: 2.10 should be CTQ.  Ral's opinion that diameter symbol should be duplicated in dual dimensions,Document_Info,Incomplete
162911,"0022 and 0025 need ""Specified"" corrected at the top of the page as well as Bebossed changed to Debossed. ",Document_Text_Seg,Incorrect
46535,"0022 sf Rowa sublot:  include discard volume for spl prep.
0066 Rowa Mesalamine CU correct typo of 30 times to 10 times for spl prep.",Multi_Obj,Multi_Attribs
46535-a,"0022 sf Rowasa sublot:  include discard volume for spl prep.",Document_Info,Incomplete
46535-b,0066 Rowasa Mesalamine CU correct typo of 30 times to 10 times for spl prep.,Document_Text_Seg,Incorrect
162912,"0024 references Fax on the first within our company info. 
All others look good.",Unknown,Unknown
66988,"0032 - needs cutout for clearance around power entry cord retention screw
0033 - needs to include Revision of base part (not just P/N)",Multi_Obj,Multi_Attribs
66988-a,"0032 - needs cutout for clearance around power entry cord retention screw",Document_Info,Incorrect
66988-b,0033 - needs to include Revision of base part (not just P/N),Document_Info,Incorrect
173130,"0054-401-001 update the naming of the main file per OP-70 to include the version
UL approver shall be added (c.c was added as a placeholder)",Multi_Obj,Multi_Attribs
3759,0083 should be TrueBac not MicroSeq,Document_Info,Incorrect
95311,008-A was put into the parent document.,Document_Info,Incorrect
55158,-01 missing in first paragraph,Document_Text_Seg,Missing
89831,-011 vs -012,Document_Text_Seg,Incorrect
90095,012 has an attachment that is unrelated & has no link(s),Attachment,Unnecessary
173131,012 print needs callouts corrected,Document_Info,Incorrect
162913,"0190: update req form?
0356: 5.1, email or portal? Not fax",Multi_Obj,Multi_Attribs
162913-a,"0190: update req form?",Document_Info,Obsolete
162913-b,"0356: 5.1, email or portal? Not fax",Document_Info,Incorrect
46536,03.102 is no longer required as equipment is currently in the process of being decommissioned.,Document_Info,Unnecessary
162914,"0367: 3.1- remove ""sample text"" from end of line.",Document_Text_Seg,Incorrect
59514,"04, 05 and 06 in the custom fields is not correct, see DCC-3005. The change request is not clear please include some redlines. Thanks LJP",Document_Info,Unclear
137163,04.1765 is the SOP number for Building Security,Document_Info,Incorrect
189815,04-00019 has not been verified using the CoA. A follow up of the parameters may be necessary once WD-40 Company receive more information.,Document_Info,Missing
3506,"04104 does not exist at this time, my understanding is 02652 may be used instead?",Document_Info,Incorrect
132787,-0457 Please indicate that this is a PEG screen,Document_Info,Incomplete
90094,-06 sheet needs line item 5 updated for description callout.,Document_Info,Obsolete
3764,"06152021 lot number should be labeled port 8 on the results side
06142021 has sample port 8 recorded and it is missing port 11.",Multi_Obj,Multi_Attribs
3764-a,"06152021 lot number should be labeled port 8 on the results side",Document_Info,Incorrect
3764-b,06142021 has sample port 8 recorded and it is missing port 11.,Document_Info,Incorrect
3765,06Jul2021 needs to be added to the test date,Date,Incomplete
67992,07272020 Test Step 15 Rejection,Document_Info,Incorrect
3766,07Oct is written in the test by date twice.  It only needs to be there once.,Date,Incorrect
47135,"1 - infocard author should be changed to main analyst
2 - STRs with Lab ID numbers are required since the samples were transferred from EDH",Multi_Obj,Multi_Attribs
47135-a,"1 - infocard author should be changed to main analyst",InfoCard,Incorrect
47135-b,2 - STRs with Lab ID numbers are required since the samples were transferred from EDH,Document_Info,Missing
66989,"1 - Please add description to the cable label.
2 - Please replace digikey p/n with manufacturing name and part number to the word document for the label.",Multi_Obj,Multi_Attribs
66989-a,"1 - Please add description to the cable label.",Document_Info,Incomplete
66989-b,2 - Please replace digikey p/n with manufacturing name and part number to the word document for the label.,Document_Info,Incorrect
189469,"1- Add build list to scope (sec 1.2)
2- Add/Ref EEP address locations (sec 3.9)
3- Ref M007-117 for Flasher version (sec 3.11)
4- Correct filename descriptions (sec 3.12)",Multi_Obj,Multi_Attribs
189469-a,"1- Add build list to scope (sec 1.2)",Document_Info,Missing
189469-b,"2- Add/Ref EEP address locations (sec 3.9)
",Address,Missing
189469-c,"3- Ref M007-117 for Flasher version (sec 3.11)",Document_Info,Incorrect
189469-d,4- Correct filename descriptions (sec 3.12),Document_Info,Incorrect
114881,"1- Add the new LIMS SOP in section 4 reference section.
2- The correct title of SOP QCD-022 is Monitoring of Manufacturing Water System, RODI-005. 
",Multi_Obj,Multi_Attribs
114881-a,"1- Add the new LIMS SOP in section 4 reference section.",Document_Info,Missing
114881-b,"2- The correct title of SOP QCD-022 is Monitoring of Manufacturing Water System, RODI-005. ",Title,Incorrect
160620,1 approver missing,Approval,Missing
82424,"1 change document number, Because SmSolve is no longer in use.
2 uipdate the attachment of the review log.",Multi_Obj,Multi_Attribs
82424-a,"1 change document number, Because SmSolve is no longer in use.
",Document_Info,Incorrect
82424-b,2 uipdate the attachment of the review log.,Attachment,Incorrect
82386,"1 Change old document number.
2 update the change description in the packet and attachment.",Multi_Obj,Multi_Attribs
82386-a,"1 Change old document number.",Document_Info,Incorrect
82386-b,2 update the change description in the packet and attachment.,Document_Info,Incorrect
114882,"1- Change the animal origin statement in the spec to no animal origin.
2- The osmolality and PH should match the spec as written below.
>=260 to <=290 mOsm/kg
>=6.9 to <= 7.3
",Multi_Obj,Multi_Attribs
114882-a,"1- Change the animal origin statement in the spec to no animal origin.",Document_Info,Incorrect
114882-b,"2- The osmolality and PH should match the spec as written below.",Document_Info,Incorrect
114882-c,">=260 to <=290 mOsm/kg",Document_Text_Seg,Incorrect
114882-d,">=6.9 to <= 7.3",Document_Text_Seg,Incorrect
82387,"1 Change the document number on the footpage.
2 Remove the old document from the attachment & links.",Multi_Obj,Multi_Attribs
82387-a,"1 Change the document number on the footpage.",Document_Formatting,Incorrect
82387-b,2 Remove the old document from the attachment & links.,Attachment,Incorrect
95312,"1 comment: 
To include classification of a cement according to ISO 9917-2:2017, point 4.1. (comment is related to BSI NCR issued in Autumn 2020).",Document_Info,Missing
114885,"1- correct the title-Title:	10 mM PO4, 110 mM NaCl Solution, pH 7.0 . Add Sodium to PO4
2- Extra zero in 8000444 SAP part number",Multi_Obj,Multi_Attribs
114885-a,"1- correct the title-Title:	10 mM PO4, 110 mM NaCl Solution, pH 7.0 . Add Sodium to PO4",Title,Incorrect
114885-b,2- Extra zero in 8000444 SAP part number,Document_Text_Seg,Incorrect
56441,1 digit typo on bom,Document_Text_Seg,Incorrect
131920,1 line needs re-translated,Document_Info,Incorrect
33579,1 more change needed for Spain,Document_Info,Incorrect
133838,"1- No Revision 02 is on the Revision history table so we dont know what changed.

2- No one from QE and Validation participated in the collaboration step.",Multi_Obj,Multi_Attribs
133838-a,"1- No Revision 02 is on the Revision history table so we dont know what changed.",Document_Info,Missing
133838-b,2- No one from QE and Validation participated in the collaboration step.,Approval,Incorrect
187814,1 or 2 slides on the samples should be added,Document_Info,Missing
82389,"1 Please add EHS role in the the approver list when the document in first approval.
2 Please update the attachment.",Multi_Obj,Multi_Attribs
82389-a,"1 Please add EHS role in the the approver list when the document in first approval.",Approval,Missing
82389-b,2 Please update the attachment.,Attachment,Missing
82390,"1 Please change old document number on the page 3 in the attachment.
2 please update the statement of validation in the packet.",Multi_Obj,Multi_Attribs
82390-a,"1 Please change old document number on the page 3 in the attachment.",Document_Info,Obsolete
82390-b,2 please update the statement of validation in the packet.,Document_Info,Obsolete
82391,"1 Please change the verfication selelcation in the packet, process verfication selection should be the same as in the ECN021516.
2 Please update the attachment.",Multi_Obj,Multi_Attribs
82391-a,"1 Please change the verfication selelcation in the packet, process verfication selection should be the same as in the ECN021516.",Document_Info,Incorrect
82391-b,2 Please update the attachment.,Attachment,Obsolete
82392,"1 Please remove old document from attachment & links.
2 the document number is wrong in the attachment.",Multi_Obj,Multi_Attribs
82392-a,"1 Please remove old document from attachment & links.",Attachment,Obsolete
82392-b,2 the document number is wrong in the attachment.,Attachment,Incorrect
82394,"1 Please remove old document from the attachments.
2 please adjust the layout of the attachment.
3 please change the selection of the production verfication accroding to the ECN.",Multi_Obj,Multi_Attribs
82394-a,"1 Please remove old document from the attachments.",Attachment,Obsolete
82394-b,"2 please adjust the layout of the attachment.",Document_Formatting,Incorrect
82394-c,3 please change the selection of the production verfication accroding to the ECN.,Document_Info,Incorrect
82393,"1 Please remove old document from the attachments.
2 Please change old document number in the attachment and adjust the layout.",Multi_Obj,Multi_Attribs
82393-a,"1 Please remove old document from the attachments.",Attachment,Obsolete
180105,"1- Please remove PS80 as it is not used.
2- Please note for Sucrose, Histidine, Histidine.HCl, And Methionine, full (versus only ID) compendial confirmatory testing is performed",Multi_Obj,Multi_Attribs
180105-a,"1- Please remove PS80 as it is not used.",Document_Info,Unnecessary
180105-b,"2- Please note for Sucrose, Histidine, Histidine.HCl, And Methionine, full (versus only ID) compendial confirmatory testing is performed",Document_Info,Incorrect
82429,"1 please update the attachment.
2  change the selection of the verfication in the packet.",Multi_Obj,Multi_Attribs
82429-a,"1 please update the attachment.",Attachment,Obsolete
82429-b,2  change the selection of the verfication in the packet.,Document_Info,Incorrect
82402,"1 Please update the attachment.
2 Remove the old document from the attachment & links.",Multi_Obj,Multi_Attribs
82402-a,"1 Please update the attachment.",Attachment,Obsolete
82402-b,2 Remove the old document from the attachment & links.,Attachment,Obsolete
82404,"1 Please update the attachment.
2 update old document number on the attachment.
3 Add change infroamtion on the change description and change section in the attachment.",Multi_Obj,Multi_Attribs
82404-a,"1 Please update the attachment.",Attachment,Obsolete
82404-b,"2 update old document number on the attachment.",Attachment,Incorrect
82404-c,3 Add change infroamtion on the change description and change section in the attachment.,Document_Info,Incomplete
82403,"1 Please update the attachment.
2 Update old document number on the attachment.
3 Please update the statement on the validation field according to WI-013555.",Multi_Obj,Multi_Attribs
82403-a,"1 Please update the attachment.",Attachment,Obsolete
82403-b,"2 Update old document number on the attachment.",Attachment,Incorrect
82403-c,3 Please update the statement on the validation field according to WI-013555.,Document_Info,Obsolete
82405,"1 Please update the format of the attachment  WI-00345.
2 Please update the statement of risk assessment & V &V in the packet per WI-013555",Multi_Obj,Multi_Attribs
82405-a,"1 Please update the format of the attachment  WI-00345.",Document_Formatting,Obsolete
82405-b,2 Please update the statement of risk assessment & V &V in the packet per WI-013555,Document_Info,Obsolete
82406,"1 Please update the fromat of the attachment WI-00346
2 please add EHS role in the list of approvers.
3 please update the statement of risk assessment & V&V in the packet.",Multi_Obj,Multi_Attribs
82406-a,"1 Please update the fromat of the attachment WI-00346",Document_Formatting,Obsolete
82406-b,"2 please add EHS role in the list of approvers.",Document_Info,Incomplete
82406-c,3 please update the statement of risk assessment & V&V in the packet.,Document_Info,Obsolete
82407,"1 Please update the statement of risk asessment & V&V in the packet.
2 Remove old document from the attachment & links.",Multi_Obj,Multi_Attribs
82407-a,"1 Please update the statement of risk asessment & V&V in the packet.",Document_Info,Obsolete
82407-b,2 Remove old document from the attachment & links.,Attachment,Unnecessary
82430,"1 please update the statement of risk assessment & V&V in the packet.
2 EHS approver need to be added into the approver list because the document is first approved.",Multi_Obj,Multi_Attribs
82430-a,"1 please update the statement of risk assessment & V&V in the packet.",Document_Info,Obsolete
82430-b,2 EHS approver need to be added into the approver list because the document is first approved.,Document_Info,Incomplete
82408,"1 Please update the statement of risk assessment & Verfication & Validation in the packet.
2  Please update the change reason.",Multi_Obj,Multi_Attribs
82408-a,"1 Please update the statement of risk assessment & Verfication & Validation in the packet.",Document_Info,Obsolete
82408-b,2  Please update the change reason.,Document_Info,Obsolete
82409,"1 Please update the statement of risk assessment & verfication & validation in the packet.
2 Please updated the review log and the attachment.",Multi_Obj,Multi_Attribs
82409-a,"1 Please update the statement of risk assessment & verfication & validation in the packet.",Document_Info,Obsolete
82409-b,2 Please updated the review log and the attachment.,Attachment,Obsolete
82410,"1 Please update the statement of risk assessment & verfication & validation.
2 The change description in the packet should be the same as in  the attachment.",Multi_Obj,Multi_Attribs
82410-a,"1 Please update the statement of risk assessment & verfication & validation.",Document_Info,Obsolete
82410-b,2 The change description in the packet should be the same as in  the attachment.,Document_Info,Incorrect
82411,"1 Please use new template 
2 Please delete the previous attachment",Multi_Obj,Multi_Attribs
82411-a,"1 Please use new template ",Document_Formatting,Obsolete
82411-b,2 Please delete the previous attachment,Attachment,Unnecessary
132788,1 reference to pooled platelets still in SOP,Reference,Unknown
114883,"1- Rejecting this spec because it skipped QA review in Step 3, SME Collaboration.",Document_Info,Incomplete
82412,"1 Remove old attachment from attachment & links.
2 Risk statement need to be updated.
3 update the format of the attachment.",Multi_Obj,Multi_Attribs
82412-a,"1 Remove old attachment from attachment & links.",Attachment,Unnecessary
82412-b,"2 Risk statement need to be updated.",Document_Info,Obsolete
82412-c,3 update the format of the attachment.,Document_Formatting,Obsolete
82414,"1 Remove old document from attachment & links.
2 Version  number is wrong on the attachment.
3 Change document number on the page 4.
4  The header information missed.",Multi_Obj,Multi_Attribs
82414-a,"1 Remove old document from attachment & links.",Attachment,Obsolete
82414-b,"2 Version  number is wrong on the attachment.",Version,Incorrect
82414-c,"3 Change document number on the page 4.",Document_Info,Incorrect
82414-d,4  The header information missed.,Document_Info,Missing
82416,"1 Remove old version attachment from attachment & links.
2 update the statement of  risk asseeement.
3 add owner into the approver list in release step.",Multi_Obj,Multi_Attribs
82416-a,"1 Remove old version attachment from attachment & links.",Attachment,Obsolete
82416-b,"2 update the statement of  risk asseeement.",Document_Info,Obsolete
82416-c,3 add owner into the approver list in release step.,Approval,Incomplete
82417,"1 Remove old version attachment from attachments &links.
2 update the statement of process V&V in packet.",Multi_Obj,Multi_Attribs
82417-a,"1 Remove old version attachment from attachments &links.",Attachment,Obsolete
82417-b,2 update the statement of process V&V in packet.,Document_Info,Obsolete
82418,"1 Remove old version document from the attachment & Linksã€‚
2 Please change old document number in the attachment.",Multi_Obj,Multi_Attribs
82418-a,"1 Remove old version document from the attachment & Linksã€‚",Attachment,Obsolete
82418-b,2 Please change old document number in the attachment.,Attachment,Obsolete
114884,"1- Section 2.1, 7.1.5.1, 7.2.2 mentions about incidents. ",Document_Info,Unknown
95313,1 slight change should be made,Document_Info,Incorrect
123415,1 tab is missing from the price list,Document_Info,Incomplete
123416,1 tab is missing from the price list ,Document_Info,Incomplete
82419,"1 The change histroty information of version 4 is  missing  in the attachment.
2 Please change the statements on the risk asssessment & verfication & validation in the packet.",Multi_Obj,Multi_Attribs
82419-a,"1 The change histroty information of version 4 is  missing  in the attachment.",Attachment,Incomplete
82419-b,2 Please change the statements on the risk asssessment & verfication & validation in the packet.,Document_Info,Incorrect
82420,"1 The selection of verfication is dfferent with ECN 012786.
2 Please update the attachments in the attachments & links.",Multi_Obj,Multi_Attribs
82420-a,"1 The selection of verfication is dfferent with ECN 012786.",Document_Info,Incorrect
82420-b,2 Please update the attachments in the attachments & links.,Attachment,Obsolete
82421,"1 There is no content in the attachment.
2 Please update the statement of risk assessment & V&V in packet.
3 Please add EHS role into the approver list.",Multi_Obj,Multi_Attribs
82421-a,"1 There is no content in the attachment.",Attachment,Incomplete
82421-b,"2 Please update the statement of risk assessment & V&V in packet.",Document_Info,Obsolete
55162,"1- to update title 
2- to correct System#
3- to add an inline dew point",Multi_Obj,Multi_Attribs
55162-a,"1- to update title ",Title,Obsolete
55162-b,"2- to correct System#",Document_Info,Incorrect
55162-c,3- to add an inline dew point,Document_Info,Incomplete
82432,"1 update the attachment.
2 update the reason for change and change description in the packet and attachment.",Multi_Obj,Multi_Attribs
82432-a,"1 update the attachment.",Attachment,Obsolete
82432-b,2 update the reason for change and change description in the packet and attachment.,Document_Info,Obsolete
82433,"1 update the change description .
2 update the attachment.
3 update the risk &  V&V statement.",Multi_Obj,Multi_Attribs
82433-a,"1 update the change description .",Document_Info,Obsolete
82433-b,"2 update the attachment.",Attachment,Obsolete
82433-c,3 update the risk &  V&V statement.,Document_Info,Obsolete
82435,"1 update the format of the attachment and Incorrect date information.
2 update the statement in the risk assessment and V&V fields.",Multi_Obj,Multi_Attribs
82435-a,"1 update the format of the attachment and Incorrect date information.",Document_Formatting,Obsolete
82435-b,2 update the statement in the risk assessment and V&V fields.,Document_Info,Obsolete
82434,"1 update the format of the attachment
2 update the change description in attachment and packet.",Multi_Obj,Multi_Attribs
82434-a,"1 update the format of the attachment",Attachment,Obsolete
82434-b,2 update the change description in attachment and packet.,Attachment,Obsolete
82423,"1 Update the scaned review log record.
2 Review log record should be saved into the supporting information in the packet.
3 Update the statement of risk asssessment in the packet.",Multi_Obj,Multi_Attribs
82423-a,"1 Update the scaned review log record.",Document_Info,Obsolete
82423-b,"2 Review log record should be saved into the supporting information in the packet.",Document_Info,Incorrect
82423-c,3 Update the statement of risk asssessment in the packet.,Document_Info,Obsolete
82436,"1 updated the attachment.
2 update the statement on the V&V fields.
3 change the selection on the validation field.",Multi_Obj,Multi_Attribs
82436-a,"1 updated the attachment.",Attachment,Obsolete
82436-b,"2 update the statement on the V&V fields.",Document_Info,Obsolete
82436-c,3 change the selection on the validation field.,Document_Info,Incorrect
172020,1 year in JDE is 360 days rather than 365 days (1440 total).,Document_Info,Incorrect
3778,"1)  Complete FRM282 header
2)  Reference the ADE document number used for the ADE value",Multi_Obj,Multi_Attribs
3778-a,"1)  Complete FRM282 header",Document_Info,Incomplete
3778-b,2)  Reference the ADE document number used for the ADE value,Reference,Missing
3779,"1)  Complete FRM282 header
2)  Reference the ADE document number used for the ADE value
",Multi_Obj,Multi_Attribs
3779-a,"1)  Complete FRM282 header",Document_Info,Incomplete
3779-b,"2)  Reference the ADE document number used for the ADE value
",Reference,Incorrect
131326,"1)  III.B.2 should be multiple steps.

2) Inconsistencies in bolding of MC field names.

3) Should really be validated before routing for approval.",Multi_Obj,Multi_Attribs
131326-a,"1)  III.B.2 should be multiple steps.",Document_Info,Incorrect
131326-b,"2) Inconsistencies in bolding of MC field names.",Document_Formatting,Incorrect
131326-c,3) Should really be validated before routing for approval.,Approval,Missing
3459,"1)  native and PDF is not aligned
2) incorrect change description
3) no courses created
4) Form number is duplicated",Multi_Obj,Multi_Attribs
3459-a,"1)  native and PDF is not aligned",Document_Formatting,Incorrect
3459-b,"2) incorrect change description",Document_Info,Incorrect
3459-c,"3) no courses created",Document_Info,Missing
3459-d,4) Form number is duplicated,Document_Info,Duplicate
47147,"1)  Project infocard author name should be the main analyst's name.
2) Based on the SSF, sample name is ACC-416, not RTA-402 in the Table 1 of the report.",Multi_Obj,Multi_Attribs
47147-a,"1)  Project infocard author name should be the main analyst's name.",InfoCard,Incorrect
47147-b,"2) Based on the SSF, sample name is ACC-416, not RTA-402 in the Table 1 of the report.",Document_Info,Incorrect
131327,"1)  Signs need to be converted back to PDF before sending for review.
2) Please accept formatting changes in SOP before sending for review",Multi_Obj,Multi_Attribs
131327-a,"1)  Signs need to be converted back to PDF before sending for review.",Document_Formatting,Incorrect
131327-b,2) Please accept formatting changes in SOP before sending for review,Document_Formatting,Obsolete
47148,"1)  The author for 20-EDHP-0316 project infocard should be the main analyst.
2) To attach the excel sheet for the sample result calculation into the project infocard.",Multi_Obj,Multi_Attribs
47148-a,"1)  The author for 20-EDHP-0316 project infocard should be the main analyst.",InfoCard,Incorrect
47148-b,2) To attach the excel sheet for the sample result calculation into the project infocard.,Attachment,Missing
131328,"1)  This document cannot be sent through without the changes being accepted.
2) Most of these edits are unneccessary.",Multi_Obj,Multi_Attribs
131328-a,"1)  This document cannot be sent through without the changes being accepted.",Document_Formatting,Incorrect
131328-b,2) Most of these edits are unneccessary.,Document_Formatting,Unnecessary
131329,"1)  This document cannot be sent through without the changes being accepted.
2) Most of these edits are unneccessary.  ",Multi_Obj,Multi_Attribs
66360,"1)  SEC should be hyphenated
2)  Rob is listed for future tasks - assignments should be updated",Multi_Obj,Multi_Attribs
66360-a,"1)  SEC should be hyphenated
",Document_Text_Seg,Incorrect
66360-b,2)  Rob is listed for future tasks - assignments should be updated,Document_Info,Obsolete
47149,"1) ""RC-QC-024: 14-17"" in Associated Documents should be ""EDH-QC-024: 14-17""
2) Missing Preventive Action",Multi_Obj,Multi_Attribs
47149-a,"1) ""RC-QC-024: 14-17"" in Associated Documents should be ""EDH-QC-024: 14-17""",Document_Text_Seg,Incorrect
